"","endTime","artistName","trackName","msPlayed"
"2","2019-07-24 09:06","Alli Neumann","Banditen",27701
"5","2019-07-24 09:10","Kraftklub","Kein Liebeslied",229947
"6","2019-07-24 09:14","Kraftklub","Dein Lied",235546
"7","2019-07-24 09:17","Kraftklub","Ich will nicht nach Berlin",202426
"8","2019-07-24 09:21","Khalid","Better",229320
"9","2019-07-24 09:24","benny blanco","Eastside (with Halsey & Khalid)",170769
"10","2019-07-24 09:27","Khalid","Outta My Head (with John Mayer)",177066
"11","2019-07-24 09:30","Khalid","Saturday Nights",209546
"12","2019-07-24 09:34","Khalid","Winter",241866
"13","2019-07-24 09:39","Hozier","Take Me To Church",241688
"14","2019-07-24 09:42","Hozier","Someone New",222813
"15","2019-07-24 09:46","Hozier","Movement",237800
"16","2019-07-24 09:50","Hozier","Almost (Sweet Music)",217480
"17","2019-07-24 09:53","Rita Ora","Let You Love Me",191120
"18","2019-07-24 09:57","Liam Payne","For You (Fifty Shades Freed) (& Rita Ora)",245453
"19","2019-07-24 10:00","Rita Ora","Your Song",180160
"20","2019-07-24 10:03","Olli Schulz","Wenn es gut ist",158840
"21","2019-07-24 10:06","Sido","Mädchen gegen Jungs - All-Star-Version",176760
"22","2019-07-24 10:08","Olli Schulz","H.D.F.K.K.",136200
"29","2019-07-24 10:10","Olli Schulz","Koks & Nutten",106701
"32","2019-07-24 10:14","Summer Cem","Casanova",206813
"33","2019-07-24 10:17","Bausa","Was du Liebe nennst",203630
"37","2019-07-24 10:17","Bausa","Vagabund",13202
"40","2019-07-24 10:21","Matoma","Party On The West Coast (feat. Snoop Dogg)",233076
"41","2019-07-24 10:25","Dean Lewis","Be Alright",196493
"42","2019-07-24 10:28","Dean Lewis","7 Minutes",211453
"43","2019-07-24 10:29","Dean Lewis","Waves",30553
"45","2019-07-25 15:57","Joey Purp","Elastic",126385
"46","2019-07-25 15:59","Rico Nasty","Bitch I'm Nasty",91754
"47","2019-07-25 16:01","Tierra Whack","Gloria",156958
"49","2019-07-25 16:04","Abhi The Nomad","RUN",166559
"50","2019-07-26 11:55","Swedish House Mafia","Don't You Worry Child - Radio Edit",212862
"51","2019-07-26 11:59","Marteria","Chardonnay & Purple Haze",237683
"53","2019-07-26 12:02","Ilgen-Nur","Cool",172404
"54","2019-07-26 12:05","Granada","Eh ok",157430
"55","2019-07-26 12:09","Kings of Leon","Closer",224168
"56","2019-07-26 12:12","Swedish House Mafia","Save The World",213337
"57","2019-07-26 12:13","Alli Neumann","Merlot, Macht & Muse",13926
"58","2019-07-26 12:15","Marteria","Adrenalin",173371
"59","2019-07-26 12:19","Dendemann","Müde",186966
"60","2019-07-26 12:22","Scooter","How Much Is The Fish?",227000
"61","2019-07-26 12:25","benny blanco","Eastside (with Halsey & Khalid)",170769
"62","2019-07-26 12:29","Tom Walker","Now You're Gone (feat. Zara Larsson)",212141
"63","2019-07-26 12:31","Swedish House Mafia","One (Your Name) - Radio Edit",163246
"64","2019-07-26 12:35","Alli Neumann","Hohes Fieber",220853
"65","2019-07-26 12:39","Kraftklub","Ich will nicht nach Berlin",202426
"66","2019-07-26 12:42","Kings of Leon","Use Somebody",230760
"67","2019-07-26 12:47","Kraftklub","Kein Liebeslied",258360
"68","2019-07-26 12:51","Kraftklub","Schüsse in die Luft",248560
"69","2019-07-26 12:54","Khalid","Saturday Nights",209546
"70","2019-07-26 12:58","Kings of Leon","Sex on Fire",203346
"72","2019-07-26 13:01","Hozier","Take Me To Church",66367
"75","2019-07-26 13:04","Kraftklub","Songs für Liam",193973
"78","2019-07-26 13:04","Olli Schulz","Koks & Nutten",22935
"85","2019-07-26 13:09","Kraftklub","Kein Liebeslied",258360
"86","2019-07-26 13:09","Kraftklub","Songs für Liam",21265
"87","2019-07-26 13:13","Kraftklub","Dein Lied",235546
"88","2019-07-26 13:17","Kraftklub","Ich will nicht nach Berlin",202426
"89","2019-07-26 13:21","Khalid","Better",227810
"92","2019-07-26 13:25","Kraftklub","Schüsse in die Luft",248560
"93","2019-07-26 13:29","Kraftklub","Kein Liebeslied",200431
"113","2019-08-06 10:43","Sido","Mädchen gegen Jungs - All-Star-Version",176760
"114","2019-08-06 10:46","Billie Eilish","when the party's over",196077
"115","2019-08-06 10:51","Rex Orange County","Best Friend",262231
"116","2019-08-06 10:55","Ufo361","Scheiß auf eure Party",220327
"117","2019-08-06 10:58","Marteria","Champion Sound",235975
"118","2019-08-06 10:59","Gramatik","Satoshi Nakamoto (feat. Adrian Lau, ProbCause)",30693
"120","2019-08-06 11:05","Matoma","Old Thing Back (feat. Ja Rule and Ralph Tresvant)",321649
"121","2019-08-06 11:05","Courtney Barnett","Debbie Downer",42914
"122","2019-08-06 11:10","Marteria","1982 (Als ob's gestern war)",110434
"128","2019-08-06 11:13","Marteria","1982 (Als ob's gestern war)",117426
"132","2019-08-06 11:13","Playboi Carti","Magnolia",15425
"144","2019-08-06 11:14","Rex Orange County","Loving Is Easy",20201
"154","2019-08-06 11:19","Kraftklub","Schüsse in die Luft",248560
"155","2019-08-06 11:23","Kraftklub","Kein Liebeslied",258360
"156","2019-08-06 11:26","Kraftklub","Songs für Liam",193973
"157","2019-08-06 11:30","Kraftklub","Dein Lied",235546
